homedepot_sku	sf_sku
R-BP-LED1220-GY	SML-BP-DD1220-GY
R-BP-3660-GY	SML-BP-3660-GY
R-BP-DD1214-BN	SML-BP-DD1214-GY
R-BP-3643-GY	SML-BP-3643-GY
R-BP-LED0914-GY	SML-BP-DD0914-GY
R-BP-LED1013-GY	SML-BP-DD1013-GY
R-BP-2743-GY	SML-BP-2743-GY
R-BP-3400-GY	SML-BP-3400-GY
R-BP-LED1010-GY	SML-BP-DD1010-GY
R-BP-3030-GY	SML-BP-3030-GY
R-SMSF-PS01TCM	SML-SM-PS01TCM
R-SM-C3-TBK	SML-PPD-T03BK3
R-SMSF-PS03GLY	SML-SM-PS03GLY
R-SMSF-PS05BLY	SML-SM-PS05BLY
R-SMSF-PS04BCM	SML-SM-PS04BCM
R-SMSF-PS02GCM	SML-SM-PS02GCM
R-SM-CL993GY-4	SML-SM-CL996LY4
R-SM-C3-RBK	SML-PPD-R13BK2
R-SM-LED311-BK	SML-SM-LED311-BK
R-SM-211-BK	SML-SM-211-BK
R-SM-CL996LY-2	SML-SM-CL996LY2
R-SM-CL997BK	SML-SM-CL997BK
R-U-B	SML-U-B
R-SM-F101-NY	SML-SM-F101-NY
R-SM-LED985-BK	SML-SM-LED985-BK
R-SM-986-RD	SML-SM-986-RD
R-HS-099Q-LED	SF-JU-09Q-LED
R-HS-043BG-LED	SF-LED043BG
R-HS-099B	SF-JU-09B
R-HS-043BG	SF-043BG
	SML-SM-11RD
