shopify_mpn,shopify_url,homedepot_item_id,mapping_status
SML-BP-DD1220-GY,,340396056,confirmed
SML-BP-3660-GY,,340396041,confirmed
SML-BP-DD1214-GY,,340396048,confirmed
SML-BP-3643-GY,,340396040,confirmed
SML-BP-DD0914-GY,,340396053,confirmed
SML-BP-DD1013-GY,,340396052,confirmed
SML-BP-2743-GY,,340396038,confirmed
SML-BP-3400-GY,,340396037,confirmed
SML-BP-DD1010-GY,,340396050,confirmed
SML-BP-3030-GY,,340396036,confirmed
SML-SM-PS01TCM,,340538833,confirmed
SML-PPD-T03BK3,,340490099,confirmed
SML-SM-PS03GLY,,340538836,confirmed
SML-SM-PS05BLY,,340538838,confirmed
SML-SM-PS04BCM,,340538837,confirmed
SML-SM-PS02GCM,,340538834,confirmed
SML-SM-CL996LY4,,340434582,confirmed
SML-PPD-R13BK2,,340490061,confirmed
SML-SM-LED311-BK,,340394177,confirmed
SML-SM-211-BK,,340394164,confirmed
SML-SM-CL996LY2,,340434577,confirmed
SML-SM-CL997BK,,340434570,confirmed
SML-U-B,,329439281,confirmed
SML-SM-F101-NY,,340375504,confirmed
SML-SM-LED985-BK,,340376869,confirmed
SML-SM-986-RD,,340902547,confirmed
SF-JU-09Q-LED,,320085973,confirmed
SF-LED043BG,,320048595,confirmed
SF-JU-09B,,320086084,confirmed
SF-043BG,,320048570,confirmed
SML-SM-11RD,,,not_listed
